"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",8.21547619047619,13.0603817489602,28.5405976511655,16967.0278984776,22.8315488997596,1.16015625,22,22,1
"OBOw",8.83690476190476,13.6994525438063,29.5474436892843,19503.7598136702,51,5.00593185424805,82,50,1
"OBOsw",8.08380952380952,12.8699909349877,28.10317724793,16598.6152940374,36.8315488997596,3.72062110900879,100,36,1
"BACs",6.75404761904762,10.218226013215,22.0687238287258,10942.3106271751,21.7466219310416,10.82412981987,22,22,6
"BACw",7.44761904761905,11.1437789606493,23.6780790726661,Inf,63,110.692000627518,82,62,20
"BACsw",6.62666666666667,10.0018807755151,20.6097064510876,10659.4464802126,43.4123101482742,77.9170994758606,100,44,21
"OBOs",8.32708333333333,13.2431935697522,29.0096727163736,17689.1650797243,22.8334704675041,1.48810863494873,22,22,1
"OBOw",8.96828703703704,13.8967838672065,29.8845928345843,20374.8372145315,47,5.98110342025757,82,46,1
"OBOsw",8.19791666666667,13.0516335716603,28.5713531745037,17318.9061428824,36.8334704675041,4.39867734909058,100,36,1
"BACs",6.86388888888889,10.410865051047,22.477890371553,11465.3671113377,22.8351853839268,3.08583617210388,22,22,3
"BACw",7.5462962962963,11.2921227870156,23.8574470088016,Inf,59,66.4288012981415,82,58,15
"BACsw",6.56527777777778,9.9722067471251,20.9265912709696,10575.1882757429,77.7667579155081,36.3663387298584,100,77,15
"OBOs",8.53423423423423,13.6253440323538,30.1566182059863,18818.767486843,22.7896787766542,1.83056092262268,22,22,1
"OBOw",9.12635135135135,14.1853797975239,30.6337563323048,21357.5226993757,65,4.15780854225159,82,64,1
"OBOsw",8.42117117117117,13.4553147676112,29.6412787410632,18447.7596322043,36.7896787766542,5.53826308250427,100,36,1
"BACs",7.05292792792793,10.776068329806,23.4283265831447,12196.7617183191,21.6588081936851,11.4023892879486,22,22,3
"BACw",7.75585585585586,11.6613823296313,24.8585185790695,Inf,61,157.144446372986,82,60,14
"BACsw",6.78468468468468,10.3923048454133,21.8480007125397,11403.4900194241,49.9421732329926,47.1561179161072,100,52,14
"OBOs",8.61008771929825,13.8348815451532,31.0106942504475,19691.045829782,22.7503562108301,1.63598847389221,22,22,1
"OBOw",9.27763157894737,14.5193911476427,31.8854858913317,22594.5994267495,45,5.42882633209229,82,44,1
"OBOsw",8.5,13.6627775810071,30.5188466361362,19286.9121788271,36.7503562108301,5.54066777229309,100,36,1
"BACs",7.11052631578947,10.9251841688279,24.2165667521876,12630.8543112379,22.1052434754149,6.18213367462158,22,22,5
"BACw",7.84035087719298,11.8538616107882,25.8552651667335,Inf,54,253.385125875473,82,53,4
"BACsw",7.07149122807018,10.8311198818376,22.8468585886205,12663.3185748966,37.7956534874469,109.089395523071,100,38,27
"OBOs",8.60811965811966,13.8295329966699,31.0834278543967,20203.8514283344,22.7537461699504,1.51356983184814,22,22,1
"OBOw",9.20555555555556,14.4056761130293,31.5900016639475,22897.962895407,59,4.73869109153748,82,58,1
"OBOsw",8.49508547008547,13.6659239948303,30.5845612133865,19806.3109474906,36.7537461699504,5.28075647354126,100,36,1
"BACs",7.07029914529915,10.8529900563114,23.9792645467939,12839.9323115625,21.9796334780023,6.96808743476868,22,22,5
"BACw",7.79679487179487,11.7573672121221,25.2318480069565,Inf,64,271.407757759094,82,63,9
"BACsw",6.80363247863248,10.4928648935938,22.4031820084238,12049.4578964957,43.7870461260152,322.053433179855,100,44,44
"OBOs",8.75645833333333,14.0654200671955,31.7667278768211,21122.4889042882,22.7099631699465,2.16904854774475,22,22,1
"OBOw",9.40916666666667,14.7644561927172,32.6710881361488,24240.7495387261,40,6.0852358341217,82,39,1
"OBOsw",8.65333333333333,13.9121948903351,31.2100144184523,20730.6449095559,36.7099631699465,6.69451999664307,100,36,1
"BACs",7.218125,11.092255180981,24.568475736195,13504.4370076499,22.5306442182431,4.23322558403015,22,22,2
"BACw",7.979375,12.0336074530181,25.9986538113034,Inf,54,29.1640956401825,82,53,6
"BACsw",6.966875,10.7182573987877,22.9439534518356,12740.025552784,73.759249423032,219.615515232086,100,73,13
