"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",2.45345563527382,3.15924632538739,6.02925944909052,14564.3367153558,16.4720204576477,1.87967991828918,22,22,1
"OBOw",2.53192262283171,3.24862084148323,6.26622417715593,15451.9059845618,24,3.98201394081116,26,23,1
"OBOsw",2.46671510307874,3.17367303400114,6.0726227563584,14626.9357679412,36.4720204576477,4.92341709136963,44,42,1
"BACs",2.44600853691763,3.15461469290384,6.02599198601375,14530.1877777847,16.472035582639,4.88902115821838,22,22,2
"BACw",2.5363727181909,3.25505830906369,6.28293103283852,15498.4804592873,26,9.35480785369873,26,25,3
"BACsw",2.46971210607574,3.18323074110875,6.07052997525192,14759.9492166684,34.9715233395569,44.2582759857178,44,42,9
"OBOs",2.4570887104052,3.16411781522065,6.03284360979149,14733.0556352537,16.4200850854783,1.60121202468872,22,22,1
"OBOw",2.53460878982041,3.25262210871128,6.27303834684677,15589.8565219421,26,3.03966188430786,26,25,1
"OBOsw",2.46800830249977,3.1756052825797,6.07653210509435,14733.9620096065,36.4200850854783,4.33191704750061,44,42,1
"BACs",2.45050085732335,3.15993669109154,6.02425652397594,14710.210313896,16.5217078124513,4.68949294090271,22,22,3
"BACw",2.5354209908853,3.25518752550279,6.27655972808369,15595.5010814988,25.9999999999999,12.6051690578461,26,25,3
"BACsw",2.4801010739103,3.18845267874769,6.02561870749227,15087.0742208588,33.8093883234694,35.0405361652374,44,41,13
"OBOs",2.45717872836517,3.1654805702462,6.04583081664448,14855.0759856579,16.3730728313802,1.86371302604675,22,22,1
"OBOw",2.53654380773025,3.25477788047144,6.28634975360043,15702.2584501126,26.0000000000001,3.33695697784424,26,25,1
"OBOsw",2.46623621199892,3.1744626011384,6.07956446964147,14812.438088786,36.3730728313802,4.95024704933167,44,42,1
"BACs",2.44937673751233,3.16010747561941,6.03544528175502,14801.1126897158,16.4920151447261,6.26468896865845,22,22,3
"BACw",2.53600573939557,3.25397875284565,6.26986179080402,15681.4659501369,26,18.8386290073395,26,25,8
"BACsw",2.47367949062864,3.18271495246708,6.00856770136044,15122.1279661332,32.882992409192,37.6032891273499,44,40,11
"OBOs",2.45575260671954,3.1666146803801,6.04915443071867,14950.5216214629,16.3184584304558,1.56006503105164,22,22,1
"OBOw",2.53346404063809,3.24953637874186,6.2651313094132,15739.5493485268,26,3.29208612442017,26,25,1
"OBOsw",2.46466446840745,3.17274396240195,6.07784086875719,14883.0347581093,36.3184584304558,5.0138840675354,44,42,1
"BACs",2.44675162641476,3.15964156489998,6.03057463463808,14896.4722376202,16.4100768674844,3.54204988479614,22,22,2
"BACw",2.53774173424828,3.26092523158845,6.31518377679251,15820.0172189333,25,6.45923900604248,26,24,2
"BACsw",2.47642812583549,3.18614212625464,6.1037374593415,14988.0827004118,35.8770913394768,26.5546939373016,44,43,8
"OBOs",2.45549552741121,3.16593047237487,6.03233747523443,15051.9227916441,16.3533034092737,1.67162394523621,22,22,1
"OBOw",2.53440793552387,3.24938423685109,6.25867427794993,15826.260640013,26,3.09428691864014,26,25,1
"OBOsw",2.46142945708972,3.1684611758163,6.06348078718038,14927.4991385423,37.3533034092737,4.63308715820312,44,43,1
"BACs",2.4494730316181,3.16215162586625,6.02164620750233,15025.2610043282,16.4612144217,5.87254285812378,22,22,3
"BACw",2.53936763794172,3.2590458511757,6.29017447448437,15902.4103377714,25,24.7001070976257,26,24,10
"BACsw",2.47799132052077,3.18992579933465,6.04003577953738,15352.8538091159,33.8354577648176,33.7470262050629,44,41,9
"OBOs",2.45911451456738,3.17064477563855,6.01905840139543,15224.7852282297,15.7685178726107,1.91441893577576,22,22,1
"OBOw",2.54053340374967,3.25625612372781,6.26734047664927,15982.8473574494,24,3.17653393745422,26,23,1
"OBOsw",2.46483584191532,3.17135260334477,6.05435152710785,15053.8199825605,36.7685178726107,5.38021206855774,44,43,1
"BACs",2.45427339142681,3.16710326418258,6.02263791769725,15219.7224923292,15.9728583524633,6.49566698074341,22,22,3
"BACw",2.54440630226212,3.26529901007688,6.29958165785947,16046.36323051,25,13.7037999629974,26,24,3
"BACsw",2.4664202094886,3.18204794111451,6.01793297082805,15375.422688114,38.8685699852802,30.9494309425354,44,43,8
"OBOs",2.46085206893535,3.1739579822407,6.01863690615062,15415.0710495927,15.3960150992971,1.97350788116455,22,22,1
"OBOw",2.54745866503368,3.26581667715812,6.31341754726162,16168.3372099905,21,2.84703397750854,26,20,1
"OBOsw",2.46863791444318,3.17730503032179,6.05361601275348,15225.9696722357,26.3960150992971,4.58944010734558,44,33,1
"BACs",2.45612807278453,3.16921373023666,6.01416117500378,15360.3785844337,15.7142595111977,6.22404408454895,22,22,3
"BACw",2.54632140670108,3.26979212605842,6.30313399540377,16183.2911694142,21,9.20183205604553,26,20,3
"BACsw",2.48141020033243,3.19676647495125,6.04329544442776,15633.4088989057,27.8831516471057,35.3312530517578,44,35,13
"OBOs",2.45978610555604,3.17295545062121,6.01599651860954,15497.966332067,15.1342243659195,1.83607006072998,22,22,1
"OBOw",2.54769150508651,3.26504996231489,6.29814787589706,16243.827222705,17,2.69743394851685,26,16,1
"OBOsw",2.46969828710547,3.18045504955389,6.0617262844379,15352.2542016636,26.1342243659195,4.44654297828674,44,33,1
"BACs",2.4590035649074,3.17274992037072,6.01953429987303,15470.8836095735,15.5487736704931,6.07839298248291,22,22,3
"BACw",2.54386575080428,3.26787154523185,6.33435770944781,16243.9112232635,20,11.5087730884552,26,19,3
"BACsw",2.47039387879315,3.18488081183329,6.04001256826652,15584.5552090176,28.9885566563633,22.6029028892517,44,36,7
"OBOs",2.46123930515945,3.17579047598407,6.02744629400261,15614.068694628,15.0571031064024,1.58796310424805,22,22,1
"OBOw",2.54990925589837,3.26840665573258,6.31039142234971,16362.2148336841,19,2.53309607505798,26,18,1
"OBOsw",2.46849883329012,3.18589764824295,6.06823353892633,15657.4033770208,25.0571031064024,3.76383185386658,44,32,1
"BACs",2.46288134128425,3.1747970441768,6.02283040557484,15563.1801236562,15.6362093534531,4.3557710647583,22,22,2
"BACw",2.54688445251059,3.27343996625673,6.36562336478126,16380.7839445531,20,10.7157270908356,26,19,4
"BACsw",2.4750669777893,3.19645956163229,6.07162010814295,15792.6278774327,31.9772211971251,27.6182818412781,44,39,8
"OBOs",2.46198780173525,3.17464073320088,6.01470553662502,15690.6473243853,14.9988717943404,1.86204695701599,22,22,1
"OBOw",2.55081178592904,3.26955273516896,6.29798884260194,16464.7840935863,18.9999999999999,2.87391805648804,26,18,1
"OBOsw",2.47135125848295,3.18416481864602,6.08128038770177,15557.7297196554,25.9988717943404,12840.0060861111,44,33,1
