"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"OBOs",2.43111434020525,3.13431066892832,6.03241982502562,14341.5767706658,25.3077391336919,2.81695199012756,31,31,1
"OBOw",2.46689673962401,3.16960693735315,6.21562976432938,14722.8354385634,71.9999999999999,5.75674700737,89,71,1
"OBOsw",2.39042775406412,3.0807112726329,6.00211737311175,13827.3227893173,88.3077391336919,9.65603709220886,116,94,1
"BACs",2.42194169466897,3.11980382636378,6.01702371051584,14198.2162803617,29.0431939748486,14.1141970157623,31,31,5
"BACw",2.46253746253746,3.16444522138844,6.20857299651966,14663.0981727654,70,25.6630048751831,89,69,6
"BACsw",2.40178003814367,3.0918198105918,6.05260715454235,13902.5340309188,62.7980488797652,73.5323691368103,116,70,11
"OBOs",2.43263243389586,3.13784046374617,6.03211104310619,14463.9269349154,25.2387322900134,3.01408982276917,31,31,1
"OBOw",2.46737659056042,3.17055706319355,6.21073524819987,14836.9914027936,77,5.53426098823547,89,76,1
"OBOsw",2.39671509791535,3.08923332113465,6.01271800251582,13985.7989234081,83.2387322900134,9.16800093650818,116,89,1
"BACs",2.43064705351503,3.12738312704972,6.01681146472284,14342.0977787125,29.6812769532292,16.2699971199036,31,31,5
"BACw",2.46954246006678,3.17249197816205,6.20249623909274,14819.9082939554,72,66.2909469604492,89,71,19
"BACsw",2.38976626658244,3.07721817984661,5.97057177100546,13976.3995683275,91.2693879042044,108.784023046494,116,99,21
"OBOs",2.43475921442023,3.14016564870681,6.04634962512172,14576.9248357769,25.1925809766654,2.71601295471191,31,31,1
"OBOw",2.46749170477984,3.16928866429219,6.20549398383706,14917.1748467028,79.0000000000001,6.69410610198975,89,78,1
"OBOsw",2.39278988431531,3.0850788346518,6.01597622062093,14044.9031685449,91.1925809766655,8.6006760597229,116,97,1
"BACs",2.43493857053179,3.13542137308519,6.0298296552446,14521.1907989777,29.694051126646,8.9153528213501,31,31,3
"BACw",2.46982333423011,3.17169290869932,6.21074876733402,14909.5843414692,69,64.0350182056427,89,68,17
"BACsw",2.4087525782441,3.1004756911246,6.01430749170409,14385.4290765929,78.5951684911205,82.6661059856415,116,86,18
"OBOs",2.43382942696729,3.1416376015315,6.05523206916724,14678.7685013022,25.15589983997,2.99766111373901,31,31,1
"OBOw",2.46591212904376,3.17058038597962,6.21898789786694,15014.8054968875,73,6.23800301551819,89,72,1
"OBOsw",2.38962659299528,3.08261899698634,6.01991706722438,14106.0098548709,94.15589983997,8.94895887374878,116,100,1
"BACs",2.427412886552,3.12611088890407,6.03109151297717,14545.5459821667,29.6428132603519,16.3937418460846,31,31,5
"BACw",2.46216914713484,3.1675995386381,6.22329707099984,14968.8260536697,71,33.3374061584473,89,70,10
"BACsw",2.37991266375546,3.07055435918676,5.98220553327901,14048.6537789853,78.8459793722225,43.9625339508057,116,86,6
"OBOs",2.43468249047914,3.14139948966979,6.04229208829707,14766.6795215269,25.1977985765738,3.01100993156433,31,31,1
"OBOw",2.46727482065362,3.17030549786342,6.20199032689264,15109.085423994,73,6.11901116371155,89,72,1
"OBOsw",2.39093082986449,3.08297555733602,5.99183666061869,14195.0786502242,89.1977985765738,8.60114097595215,116,95,1
"BACs",2.42919139137366,3.12755430990178,6.01361528310834,14636.2642153722,29.8109637513358,25.0972239971161,31,31,7
"BACw",2.46399787441325,3.16909004255361,6.21954787042559,15072.4622902988,71,25.3289401531219,89,70,4
"BACsw",2.38871667699938,3.07778587945281,5.97744625176078,14132.73094208,80.5857473824013,71.4640669822693,116,93,15
"OBOs",2.43490889886454,3.14145850723517,6.03285340423952,14870.8909121545,24.6267610118436,3.06997895240784,31,31,1
"OBOw",2.46932488337294,3.17303132755586,6.19987287331927,15220.8202404434,74,5.75599789619446,89,73,1
"OBOsw",2.39133879059942,3.0833847772717,5.98448321986677,14292.2373241202,94.6267610118436,8.66452097892761,116,101,1
"BACs",2.43235630666315,3.13075102358163,6.01189297500023,14753.726437259,29.7787208101668,10.6434619426727,31,31,3
"BACw",2.46457178065311,3.17050596736178,6.20721810880255,15179.8186473642,66,40.8468799591064,89,65,9
"BACsw",2.41519232461931,3.11099427228724,6.09611036451561,14568.3093603832,84.4331004402465,53.6220841407776,116,90,8
"OBOs",2.43766949523226,3.14345156259137,6.02950720708937,14995.8919102525,24.2590200578557,3.39799094200134,31,31,1
"OBOw",2.4730119849532,3.17678185623762,6.19224848084038,15357.7578382022,68,5.81615304946899,89,67,1
"OBOsw",2.39821537923191,3.08979712847984,5.97946301670779,14441.0828326659,77.2590200578557,8.71291589736938,116,84,1
"BACs",2.43040853818564,3.12993901536021,6.02158500098708,14869.6568695369,29.9657104479021,16.7814831733704,31,31,5
"BACw",2.4726620593124,3.1771948955685,6.19521274491138,15340.6785047293,68,67.7192349433899,89,67,20
"BACsw",2.38071909719185,3.07216444606949,5.95351227810378,14346.5128013795,75.2157055760518,90.475662946701,116,86,22
"OBOs",2.43770106947222,3.14352499800694,6.02165597096043,15083.3231001802,23.9977862607587,3.11187291145325,31,31,1
"OBOw",2.47587166333362,3.18197197613357,6.19345467236088,15489.0175461767,64,5.77700614929199,89,63,1
"OBOsw",2.40161725067385,3.09489652303681,5.99107202751974,14560.868348466,78.9977862607587,8.52799701690674,116,86,1
"BACs",2.43204938700983,3.13228890841123,6.01933219695703,14989.3359672911,29.9629644449,16.2589809894562,31,31,5
"BACw",2.47169811320755,3.17699484341885,6.20836497158777,15431.1939834554,58,26.2129919528961,89,57,6
"BACsw",2.39005303886619,3.08260896731768,5.98873638622119,14463.0793163885,73.950829185483,74.6215379238129,116,84,14
"OBOs",2.43980641258318,3.14593347290652,6.03887046302251,15194.5575128405,23.9211379163243,3.35832095146179,31,31,1
"OBOw",2.47800535822314,3.1845410233951,6.2179285967159,15600.1862703496,66,5.54647517204285,89,65,1
"OBOsw",2.39797770287788,3.09128537757805,5.99354751796133,14627.5770935504,87.9211379163243,7.57660698890686,116,95,1
"BACs",2.43444818943912,3.13533917486171,6.03736851794916,15105.39812453,29.8308153007621,12.0064890384674,31,31,3
"BACw",2.474116325296,3.18048126334038,6.23414554992148,15544.9147328502,58,16.0671598911285,89,57,3
"BACsw",2.39512574539798,3.0888661535581,6.00221643866178,14611.270324987,87.2706131643955,117.2243039608,116,89,21
"OBOs",2.43870801477536,3.14371020277272,6.03206575790519,15261.1386823874,23.8584280346921,3.41880488395691,31,31,1
"OBOw",2.47779400395155,3.18398945503203,6.21035503134761,15679.815010787,64.9999999999999,6.31143617630005,89,64,1
"OBOsw",2.39369469976806,3.08671179555006,5.98756724709306,14677.1445594522,91.8584280346921,8.52859807014465,116,99,1
"BACs",2.43398333476505,3.13439207983978,6.03246425600683,15193.3348155587,29.9040102599926,18.9197750091553,31,31,6
"BACw",2.47616184176617,3.18475828538232,6.22176313744436,15672.4403152515,59,39.4661731719971,89,58,10
"BACsw",2.44317498496693,3.14381950264333,6.14948012186646,15314.3313408697,82.450674875872,63.0393569469452,116,87,11
"OBOs",2.44129450943557,3.14641433208915,6.03306302489586,15371.6562561373,23.8099551872685,3.26741695404053,31,31,1
"OBOw",2.48450175049099,3.18940693944735,6.21238982483576,15809.7489471649,64.0000000000001,5.77599811553955,89,63,1
"OBOsw",2.40611390999915,3.09960456489437,6.00019912055096,14843.5147049454,75.8099551872685,8.82105803489685,116,83,1
"BACs",2.43625651097259,3.13724162779459,6.02820927382125,15323.5839957997,29.5154946766314,14.8799901008606,31,31,5
"BACw",2.47971992144138,3.18568332697332,6.22766019412017,15755.7260351928,62,69.9177229404449,89,61,17
"BACsw",2.39048757578345,3.08476164701949,6.00238901064613,14722.802457896,73.838285393624,77.7958137989044,116,81,16
"OBOs",2.44385026737968,3.14981173725312,6.03965517884382,15515.2364163273,23.8009566062292,3.32765412330627,31,31,1
"OBOw",2.48433919022154,3.19118874331342,6.21631062727136,15917.2659643501,72.0000000000001,4.81792187690735,89,71,1
"OBOsw",2.40098463627875,3.09428008131585,6.00257268676169,14895.5440790803,88.8009566062292,9.09600806236267,116,96,1
"BACs",2.4392666157372,3.139230184119,6.02902717244505,15440.0657046883,29.9211133180053,17.785001039505,31,31,5
"BACw",2.48255665902725,3.18902018778261,6.22604673587058,15878.3791574222,61,25.1493451595306,89,60,6
"BACsw",2.39614633732281,3.08797800877322,5.9614756897139,14942.8420595122,75.537643369104,64.2100489139557,116,79,9
"OBOs",2.44443506877057,3.14988551424458,6.03844432924204,15615.3260576807,23.7943720423197,2.70797896385193,31,31,1
"OBOw",2.48679436334487,3.19333169444946,6.22132145238707,16030.1389553761,68.0000000000001,4.78010010719299,89,67,1
"OBOsw",2.40224453632605,3.09524501880491,6.00059028973531,14999.556627073,86.7943720423197,7.90514492988586,116,94,1
"BACs",2.44435068770568,3.14606582088717,6.03502175665555,15641.2780527732,29.3995374647553,10.875,31,31,3
"BACw",2.48232216690575,3.19144180872789,6.21932851885972,16006.1405999022,64,66.6607961654663,89,63,14
"BACsw",2.39701291030293,3.09197190654495,5.99901605470074,14998.0526956875,83.3038846912959,50.0808038711548,116,90,12
"OBOs",2.44601962922574,3.1517421745767,6.04676610112299,15744.9364834877,23.7906374377583,3.15107583999634,31,31,1
"OBOw",2.48636859323882,3.19392511199072,6.2274004554007,16154.3152283437,75,5.46591806411743,89,74,1
"OBOsw",2.40701283449375,3.10120649987813,6.01201847944458,15160.1883740043,83.7906374377583,8.32571601867676,116,91,1
"BACs",2.44031540978106,3.14022317579914,6.02147954928366,15665.814309584,29.7547841345255,10.7039999961853,31,31,3
"BACw",2.4815871151749,3.1905220976773,6.24387023351365,16100.9097748967,67,48.5203609466553,89,66,14
"BACsw",2.40458015267176,3.10046255387524,5.98482039140448,15319.9469302031,83.8854370262096,108.368991136551,116,89,16
"OBOs",2.44583437578184,3.1517376298743,6.04321272751602,15845.466714864,23.7881762596904,3.81706500053406,31,31,1
"OBOw",2.48761571178384,3.19291863040207,6.22609781877929,16233.8795478344,61,6.56800103187561,89,60,1
"OBOsw",2.40613793678592,3.09997968900134,6.01320988453914,15240.5153347129,85.7881762596904,10.1529979705811,116,93,1
"BACs",2.43966308064382,3.14004696162189,6.01408304447245,15747.7284893566,29.7177131629379,12.183974981308,31,31,4
"BACw",2.48252856308898,3.18992660163096,6.23611643503914,16184.059759368,62,49.8682780265808,89,61,13
"BACsw",2.3999666416479,3.09327381973526,5.98754054463341,15226.3199385097,88.858670565368,171.23219203949,116,93,24
"OBOs",2.44490506591493,3.15008853678269,6.03441406702014,15942.0025827823,23.8015461602811,2.99400496482849,31,31,1
"OBOw",2.48544896774728,3.19141695706593,6.21688442647583,16334.866645143,74,5.39626812934875,89,73,1
"OBOsw",2.40892131664041,3.10165498721726,6.00647369245029,15354.7694497397,79.8015461602811,7.54418087005615,116,87,1
"BACs",2.43843794046928,3.13663636521483,6.00222309936666,15847.3545653543,29.542038354337,17.3378438949585,31,31,4
"BACw",2.47981096094851,3.18650302196561,6.22453047083606,16246.6146970874,65,42.2768349647522,89,64,11
"BACsw",2.39001741149158,3.08213302515388,5.96062096766651,15313.6923828698,89.9817109980364,87.0544559955597,116,95,14
"OBOs",2.4464594839667,3.15055150336713,6.03975678757485,16044.4008386511,23.7968958446532,2.82699918746948,31,31,1
"OBOw",2.49146813947737,3.19474777114612,6.22872387840419,16451.9336980039,66,4.96015596389771,89,65,1
"OBOsw",2.41126040722117,3.10579271630766,6.02981825506856,15480.7549136305,69.7968958446532,7.97636389732361,116,77,1
"BACs",2.44200807847663,3.14096060162301,6.00509203380654,15941.1230259647,29.6356125780408,14.6100609302521,31,31,5
"BACw",2.48157612727722,3.1876958239036,6.21602646437151,16349.900542615,60,29.6917660236359,89,59,8
"BACsw",2.39848322479598,3.09226674031744,5.95794566051557,15516.474420565,84.0157355903245,71.5048480033875,116,91,16
"OBOs",2.44848782886649,3.15418082092549,6.04607689924298,16161.2595407442,23.8436898529043,3.08726406097412,31,31,1
"OBOw",2.49143512826817,3.19607578414507,6.23875134531132,16538.6244132376,65.0000000000001,6.58100008964539,89,64,1
"OBOsw",2.41447422342431,3.11062858006246,6.04427471916474,15605.8356538306,65.8436898529043,8.1164608001709,116,73,1
"BACs",2.44242275223342,3.14134423503432,6.01994010759929,16079.4442733621,29.7339113225995,23.6676368713379,31,31,5
"BACw",2.48086222440784,3.18843753638814,6.22541034349979,16435.8769742343,66,29.6102631092072,89,65,5
"BACsw",2.44635685599541,3.14465603345165,6.15370776573401,16037.4745096561,75.1990527013141,66.2069599628448,116,76,12
"OBOs",2.45016706054926,3.15536365231318,6.04213634657136,16305.0267860647,23.8770119495055,3.12207698822021,31,31,1
"OBOw",2.4918099584386,3.19597324266182,6.22194959674961,16641.8062880413,74.0000000000001,5.63153696060181,89,73,1
"OBOsw",2.41153940184174,3.10482916488196,6.01632139659214,15656.6574792832,84.8770119495055,9.06291079521179,116,92,1
"BACs",2.44902615923723,3.15138381500483,6.03788873217081,16223.4002389038,29.4435071623749,10.5210630893707,31,31,3
"BACw",2.47991198761307,3.18629460518932,6.22570534715186,16513.6512380471,66,47.1665968894958,89,65,10
"BACsw",2.40379757151006,3.09622128735794,5.98696798328162,15667.3695547618,86.2422529236686,91.3310599327087,116,94,13
"OBOs",2.44809982983551,3.1544526096472,6.04761904761905,16361.4610689195,24.1185718820954,3.25319790840149,31,31,1
"OBOw",2.49193744429139,3.195529552994,6.23245837651291,16704.2942910951,75.9999999999999,5.72792100906372,89,75,1
"OBOsw",2.40969127299246,3.10184211717699,6.01443841000597,15694.3161758108,85.1185718820954,8.41918992996216,116,92,1
"BACs",2.44242768009075,3.14233039909678,6.01726540823963,16261.5740470388,29.5509103718379,16.7648520469666,31,31,5
"BACw",2.47937768414229,3.18576466606941,6.2285459443195,16584.510685237,70,36.3693718910217,89,69,7
"BACsw",2.45360991815898,3.15378465808253,6.16340233512881,16303.2831205385,90.0291665186349,78.9905741214752,116,94,16
